feature,stat_mannwhitney_u,effect_mean_diff,p_value,p_adj_bh,direction
svd_4,53384.0,0.06394995464143148,7.856668604935744e-05,0.010056535814317752,up
svd_1,40977.0,-0.05703546899487325,0.05813924694513868,0.8853514959773237,down
svd_13,49093.0,0.007896858117826235,0.053902735975683534,0.8853514959773237,up
svd_19,41003.0,-0.004807535381288993,0.05978169798705437,0.8853514959773237,down
svd_31,40113.0,-0.0040956292446119,0.021357680739535697,0.8853514959773237,down
svd_47,49212.0,0.0023242667442981424,0.04729288253437935,0.8853514959773237,up
svd_77,40275.0,-0.0017410736729032371,0.026061301474992835,0.8853514959773237,down
svd_80,48959.0,0.0015623311365029415,0.06225127706090557,0.8853514959773237,up
svd_85,49044.0,0.0011403242246593695,0.05684018134278414,0.8853514959773237,up
svd_12,41219.0,-0.0076459564740285705,0.07496775425627408,0.9004887325876246,down
svd_58,48750.0,0.001840913891275523,0.07738575045674899,0.9004887325876246,up
svd_3,48481.0,0.004441572065885311,0.10113874048769204,0.9038896883287819,up
svd_5,42307.0,-0.009310242230921213,0.20472642498428384,0.9038896883287819,down
svd_8,43135.0,-0.00962928977346395,0.3798339858954496,0.9038896883287819,down
svd_11,42983.0,-0.001353260025594119,0.34221588045361184,0.9038896883287819,down
svd_14,47927.0,0.0062657039459525716,0.16807452654387167,0.9038896883287819,up
svd_17,41828.0,-0.005420373734503957,0.13522394022732379,0.9038896883287819,down
svd_18,42855.0,-0.00023044816396603266,0.31245426374672636,0.9038896883287819,down
svd_21,42288.0,-0.0030931104493111886,0.20154945583079942,0.9038896883287819,down
svd_22,42924.0,-0.0017950811364266731,0.32827922604436044,0.9038896883287819,down
svd_23,43332.0,-2.7981850440288306e-05,0.43221156544789396,0.9038896883287819,down
svd_25,42593.0,-0.0010529311332053177,0.2570081906034387,0.9038896883287819,down
svd_26,46745.0,0.0013665497915710608,0.41125861191070034,0.9038896883287819,up
svd_30,42995.0,-0.0015775478600996199,0.3450961035548724,0.9038896883287819,down
svd_34,47571.0,0.002157580593602503,0.225996283413481,0.9038896883287819,up
svd_36,46569.0,0.0011962696535290044,0.46003900977940104,0.9038896883287819,up
svd_37,47270.0,0.00022719941411329268,0.28508672109418265,0.9038896883287819,up
svd_39,47151.0,0.0009742023157344263,0.31110233532676856,0.9038896883287819,up
svd_40,42303.0,-0.0014118708782419164,0.20405458114590813,0.9038896883287819,down
svd_42,47876.0,0.001372409192452928,0.17561021844276892,0.9038896883287819,up
svd_43,42827.0,-0.0009187187865429688,0.3061783243585853,0.9038896883287819,down
svd_44,46882.0,0.0008496806803554743,0.3755046830270923,0.9038896883287819,up
svd_46,46632.0,0.0008540807869874812,0.4422160939283599,0.9038896883287819,up
svd_51,41865.0,-0.0017195486420750416,0.13983984261406582,0.9038896883287819,down
svd_53,43115.0,-0.0010226249537360608,0.37474386444356145,0.9038896883287819,down
svd_57,42847.0,-0.0007118972727492298,0.3106525512993946,0.9038896883287819,down
svd_59,47718.0,0.0009773180700385126,0.20055371087284313,0.9038896883287819,up
svd_60,46735.0,0.0009403801510878783,0.4139452075359188,0.9038896883287819,up
svd_62,43310.0,-0.0011005467184711489,0.42616277267093794,0.9038896883287819,down
svd_63,47099.0,0.0011273509733571384,0.32294744948947696,0.9038896883287819,up
svd_65,42795.0,-0.000842366425630133,0.29910882951118756,0.9038896883287819,down
svd_66,41366.0,-0.0013828817434900584,0.08700309455467545,0.9038896883287819,down
svd_67,43298.0,-0.0005534649058085466,0.42288435268186686,0.9038896883287819,down
svd_68,42592.0,-0.0011195767365609118,0.25681055500601424,0.9038896883287819,down
svd_71,42098.0,-0.001001161928940739,0.17173758937186412,0.9038896883287819,down
svd_73,47131.0,0.0008028240172206493,0.31562379307241617,0.9038896883287819,up
svd_75,47820.0,0.0010961694988083916,0.1841718759303318,0.9038896883287819,up
svd_76,47370.0,0.0009530633833365416,0.2643950069688662,0.9038896883287819,up
svd_82,42189.0,-0.0011633251540757775,0.18557620266579944,0.9038896883287819,down
svd_84,42931.0,-0.00044461487336063313,0.3299132092281153,0.9038896883287819,down
svd_89,47518.0,0.0007037563433665312,0.23571188533454612,0.9038896883287819,up
svd_90,46565.0,0.0005714225916643566,0.4611840356851351,0.9038896883287819,up
svd_91,43196.0,-0.0006815352384573388,0.39561954988304737,0.9038896883287819,down
svd_95,42706.0,-0.0007324245345161848,0.28002354466369994,0.9038896883287819,down
svd_98,41595.0,-0.0006996139739907533,0.10881085505837458,0.9038896883287819,down
svd_99,46921.0,0.00021879062623344998,0.3656885148749741,0.9038896883287819,up
svd_100,46616.0,0.0004259867747873832,0.44670473944434796,0.9038896883287819,up
svd_103,43153.0,-0.0004407257960089953,0.38445125129940005,0.9038896883287819,down
svd_106,42240.0,-0.0008017381154986035,0.19368387990631364,0.9038896883287819,down
svd_107,46995.0,0.0006600345094250138,0.3475080623356125,0.9038896883287819,up
svd_110,43326.0,-0.0004845772351115063,0.43055698211643456,0.9038896883287819,down
svd_115,42800.0,-0.0006038652278383284,0.3002061987011344,0.9038896883287819,down
svd_118,46743.0,0.00044171836640425607,0.4117951014475416,0.9038896883287819,up
svd_119,47024.0,0.0006294743860692723,0.3405428711004508,0.9038896883287819,up
svd_120,43452.0,-0.00036426782289135254,0.4660681205445282,0.9038896883287819,down
svd_126,47145.0,0.0004024960572943252,0.31245426374672636,0.9038896883287819,up
svd_2,43619.0,-0.002675091481403296,0.5155421642590361,0.9192388764816826,down
svd_10,43504.0,-0.0025291325772352218,0.4811844992542552,0.9192388764816826,down
svd_33,43640.0,-0.0011354204033350583,0.5219508866459799,0.9192388764816826,down
svd_35,46370.0,0.0018004992453597968,0.5188940129363908,0.9192388764816826,up
svd_38,43681.0,-0.001131958103716254,0.5345801683200968,0.9192388764816826,down
svd_49,46317.0,0.0009037277745062374,0.5352001520978817,0.9192388764816826,up
svd_74,43529.0,-0.0006808024158779804,0.4885459081724526,0.9192388764816826,down
svd_97,43694.0,-0.0003693070188411469,0.5386165291884859,0.9192388764816826,down
svd_109,46423.0,0.0005803543196951374,0.5028483325380264,0.9192388764816826,up
svd_104,46277.0,0.00022096723625827014,0.5476754464970516,0.9224007519950342,up
svd_6,43757.0,-0.007629279822651897,0.558391298887554,0.9236236144802344,down
svd_127,43771.0,-0.00024126002399495682,0.5628331400738928,0.9236236144802344,down
svd_24,46052.0,2.4778841416305675e-05,0.6204100280934794,0.9347651804800986,up
svd_48,46071.0,5.3542142062796555e-05,0.6141078089613904,0.9347651804800986,up
svd_72,43944.0,-0.0003531291695875158,0.6190809058724369,0.9347651804800986,down
svd_93,43949.0,-0.00028241613873037025,0.6207425026625655,0.9347651804800986,down
svd_114,46182.0,0.0003112266811283185,0.5778684799691808,0.9347651804800986,up
svd_117,43949.0,-0.00040089157575473247,0.6207425026625655,0.9347651804800986,down
svd_123,46145.0,0.00023827973851184498,0.5898361757133064,0.9347651804800986,up
svd_41,46024.0,0.000588351803275118,0.6297484253024807,0.9372999818455526,up
svd_0,45881.0,0.02524749304218865,0.678342327789533,0.9457005136036823,up
svd_29,45916.0,0.0024959230342891897,0.666314478477912,0.9457005136036823,up
svd_52,44123.0,-0.0008640321304426411,0.6797222441526467,0.9457005136036823,down
svd_87,44079.0,-0.0002889454637761503,0.664603107387036,0.9457005136036823,down
svd_96,45926.0,0.0003716224328826549,0.6628934828435404,0.9457005136036823,up
svd_113,45878.0,0.0002550393050169837,0.6793771642403036,0.9457005136036823,up
svd_45,44175.0,-0.0006438850540578963,0.6977573746127288,0.9501377016003115,down
svd_70,45842.0,0.000645876386789987,0.6918418633832663,0.9501377016003115,up
svd_16,45659.0,-0.0007725105022453418,0.7564381271319124,0.9696164555917202,down
svd_27,45687.0,0.00014785479539321358,0.7464302925763506,0.9696164555917202,up
svd_54,45720.0,0.0006808234082527598,0.7346901355517678,0.9696164555917202,up
svd_64,45754.0,0.00027638396842837373,0.7226587524826587,0.9696164555917202,up
svd_83,45656.0,0.0003521857846466703,0.7575128559310313,0.9696164555917202,up
svd_121,44343.0,-0.0003779243362437587,0.7571545607935288,0.9696164555917202,down
svd_7,44479.0,-0.0028450738883747705,0.8063311194932388,0.9728809792074631,down
svd_9,44422.0,-0.001602880189454675,0.7856146854494419,0.9728809792074631,down
svd_15,45502.0,0.001344226959630906,0.8132676935562386,0.9728809792074631,up
svd_78,45549.0,0.0003470646018206385,0.7961366586914427,0.9728809792074631,up
svd_92,45581.0,0.00012401764933968988,0.7845284016367204,0.9728809792074631,up
svd_94,45598.0,5.9677874950032085e-06,0.7783807782060337,0.9728809792074631,up
svd_112,45518.0,-7.174293779090336e-05,0.8074253707488372,0.9728809792074631,down
svd_56,45434.0,0.00035780423412812697,0.8382098835968987,0.9767822385920587,up
svd_79,44545.0,-3.597081522529469e-05,0.8304885405302265,0.9767822385920587,down
svd_108,44580.0,-0.0001503578426002682,0.8433661625969788,0.9767822385920587,down
svd_122,45410.0,0.00038912477642394144,0.8470533475290509,0.9767822385920587,up
svd_69,44634.0,0.0002819591117865215,0.8633157102593545,0.9866465260106908,up
svd_28,44718.0,0.0005381112823190996,0.8945176962595729,0.9936342171186116,up
svd_55,45268.0,0.000478220274746928,0.8997352808113728,0.9936342171186116,up
svd_81,44734.0,3.855814347352858e-05,0.9004810092637417,0.9936342171186116,up
svd_116,44715.0,0.00018637610560868015,0.8934002280800678,0.9936342171186116,up
svd_111,44756.0,6.149768864872852e-05,0.9086896771921034,0.9941220400050361,up
svd_102,45222.0,0.00021471632571953202,0.9169081065366822,0.9946121833618248,up
svd_20,45193.0,-0.0003857307296699963,0.9277549312982121,0.9968055950411882,down
svd_32,44882.0,0.0008218620578670969,0.9558644631109324,0.9968055950411882,up
svd_50,45025.0,-0.0005139916532008069,0.9907927772244053,0.9968055950411882,down
svd_61,45068.0,-9.953425429141925e-06,0.9746368717139642,0.9968055950411882,down
svd_86,44963.0,-4.654202939727882e-05,0.9862834883349737,0.9968055950411882,down
svd_88,44953.0,-6.585635412579112e-05,0.982526076181721,0.9968055950411882,down
svd_101,44929.0,-8.633927532193536e-05,0.9735100270176577,0.9968055950411882,down
svd_105,45138.0,7.835073534616808e-05,0.9483617651667594,0.9968055950411882,up
svd_124,44879.0,3.72302766740743e-06,0.9547387927705371,0.9968055950411882,up
svd_125,44991.0,-0.0002550085892832901,0.9968055950411882,0.9968055950411882,down
